Country,News Agency,Total articles downloaded,Total historical data
UK,BBC,37,Since 2025
USA,CNN,50,Since 2023
Middle East,Al Jazeera,25,Since 2025
Japan,NHK,7,Since 2025
India,The Hindu,100,Since 2025
Singapore,CNA,20,Since 2025
South Korea,KBS,30,Since 2025
China,Xinhua,20,Since 2017
Germany,DW,149,N/A
Australia,ABC,25,Since 2025
Russia,RT,100,Since 2025
Brazil,Folha,100,Since 2025
Italy,ANSA,28,Since 2025
Spain,El Pais,137,Since 2025
